,给矿,溢流,沉砂
干矿量 - [t/h],6262.199999999999,1391.6,4870.599999999999
水量 - [t/h],4174.799999999999,2957.1499999999996,1217.6499999999999
液固比 - [%],0.6666666666666671,2.125,0.25
质量浓度 - [%],59.999999999999986,32.0,80.0
体积浓度 - [%],35.7142857142857,14.842300556586272,59.70149253731344
矿浆密度 - [t/m³],1.607142857142857,1.2523191094619668,2.0149253731343286
细度-200目含量 - [%],26.88888888888889,65.0,16.0
矿浆量 - [t/h],10437.0,4348.75,6088.249999999999
矿浆量 - [m³/h],6494.133333333334,3472.557407407407,3021.5759259259253
矿浆量 - [L/s],1803.925925925926,964.5992798353908,839.3266460905347
